sum = 488117
nV = 500
167 493 -4072
298 494 -4071
133 134 -4059
307 362 -4051
103 301 -4044
155 338 -4039
225 283 -4027
256 290 -4019
194 496 -4010
32 33 -4010
9 307 -4003
9 10 -5012
10 390 -8598
62 477 -4003
145 146 -3960
302 360 -3943
39 193 -3940
166 265 -3934
47 58 -3931
95 179 -3930
274 337 -3927
49 95 -3905
49 484 -6785
102 386 -3881
200 400 -3876
82 111 -3874
229 368 -3874
9 17 -3864
118 257 -3861
140 287 -3859
55 111 -3854
55 74 -9806
238 271 -3836
231 480 -3834
225 226 -3832
322 401 -3823
246 438 -3820
46 171 -3812
171 372 -6686
48 159 -3810
91 499 -3787
258 278 -3756
209 243 -3754
324 393 -3743
141 419 -3743
311 312 -3721
222 380 -3720
87 376 -3699
264 270 -3693
214 305 -3680
468 469 -3667
347 468 -4049
384 485 -3665
272 482 -3664
91 139 -3658
63 210 -3653
305 418 -3646
457 458 -3644
168 240 -3640
192 263 -3627
302 303 -3618
295 337 -3608
373 380 -3592
121 426 -3587
95 483 -3586
230 424 -3571
353 354 -3551
440 441 -3548
69 70 -3532
53 70 -5040
346 454 -3527
74 102 -3527
216 239 -3522
77 352 -3500
77 404 -3515
279 351 -3464
71 72 -3462
444 445 -3461
115 116 -3454
67 228 -3447
225 485 -3447
77 233 -3445
221 479 -3444
201 260 -3438
246 265 -3434
86 87 -3398
248 249 -3384
333 366 -3372
82 83 -3366
105 281 -3347
243 244 -3343
65 366 -3340
324 325 -3338
240 322 -3338
199 406 -3337
83 233 -3328
340 341 -3316
134 135 -3303
20 237 -3298
69 407 -3295
313 498 -3278
207 235 -3264
6 297 -3253
430 443 -3248
115 318 -3240
221 312 -3212
257 393 -3212
68 491 -3209
73 489 -3208
73 181 -3188
95 344 -3188
158 159 -3164
333 481 -3148
45 291 -3145
184 479 -3142
71 439 -3117
184 210 -3111
325 480 -3105
207 214 -3104
25 288 -3078
124 500 -3072
365 481 -3070
420 464 -3068
115 441 -3067
69 308 -3058
318 486 -3055
93 438 -3043
4 77 -3033
101 173 -3023
384 385 -3021
75 76 -3013
132 476 -2999
414 415 -2987
70 71 -2985
107 108 -2976
45 68 -2951
378 379 -2951
135 441 -2936
193 474 -2936
118 145 -2934
375 453 -2933
241 302 -2907
462 471 -2894
120 205 -2886
77 368 -2876
75 146 -2873
29 30 -2849
214 363 -2848
151 276 -2826
167 201 -2809
4 93 -2804
423 440 -2764
402 403 -2763
76 411 -2763
275 276 -2753
80 313 -2736
337 338 -2733
90 225 -2733
120 128 -2729
257 320 -2710
107 253 -2706
17 35 -2706
117 337 -2704
28 192 -2679
258 314 -2667
294 346 -2660
152 250 -2644
385 410 -2643
315 477 -2638
240 399 -2622
